section,row_id,scenario,label,classification,amount_usd_m,amount_usd_b,pct,eligible,value_1,value_2,value_3,value_4,value_5,notes,confidence
inflow_taxonomy,IN-RET,,Financial returns on treasury/investments,return,,,,candidate_eligible_if_external_return,True,False,True,False,treasury_policy,value_1=controls; value_2=refundable; value_3=enters_P&L_eventually; value_4=feeds_investor_contributor_profit_base; value_5=disclosure. Founder 1% only if eligible AND founder_allocation_assessed=false at first external receipt.,L-M
inflow_taxonomy,IN-FEE-CR,,Cost-recovery processing receipts,liability_or_cost_recovery,,,,excluded,True,False,False,False,fee_policy_not_profit,value_1=controls; value_2=refundable; value_3=enters_P&L_eventually; value_4=feeds_investor_contributor_profit_base; value_5=disclosure. Founder 1% only if eligible AND founder_allocation_assessed=false at first external receipt.,L-M
inflow_taxonomy,IN-ESC,,Escrow / custodial,liability,,,,excluded,False,True,False,False,custody,value_1=controls; value_2=refundable; value_3=enters_P&L_eventually; value_4=feeds_investor_contributor_profit_base; value_5=disclosure. Founder 1% only if eligible AND founder_allocation_assessed=false at first external receipt.,L-M
inflow_taxonomy,IN-DEP,,Refundable deposits,liability,,,,excluded,True,True,False,False,liability,value_1=controls; value_2=refundable; value_3=enters_P&L_eventually; value_4=feeds_investor_contributor_profit_base; value_5=disclosure. Founder 1% only if eligible AND founder_allocation_assessed=false at first external receipt.,L-M
inflow_taxonomy,IN-PASS,,Pass-through funds,agency_liability,,,,excluded,False,True,False,False,agency,value_1=controls; value_2=refundable; value_3=enters_P&L_eventually; value_4=feeds_investor_contributor_profit_base; value_5=disclosure. Founder 1% only if eligible AND founder_allocation_assessed=false at first external receipt.,L-M
inflow_taxonomy,IN-TAX,,Taxes or public revenue collections,non_civizen_or_agency,,,,excluded,False,False,False,False,never_private,value_1=controls; value_2=refundable; value_3=enters_P&L_eventually; value_4=feeds_investor_contributor_profit_base; value_5=disclosure. Founder 1% only if eligible AND founder_allocation_assessed=false at first external receipt.,L-M
inflow_taxonomy,IN-INS,,Insurance proceeds,recovery,,,,excluded_presumptive,True,False,False,False,loss_restoration,value_1=controls; value_2=refundable; value_3=enters_P&L_eventually; value_4=feeds_investor_contributor_profit_base; value_5=disclosure. Founder 1% only if eligible AND founder_allocation_assessed=false at first external receipt.,L-M
inflow_taxonomy,IN-SET,,Settlement proceeds,recovery_or_income,,,,special_review,True,False,case_by_case,False,legal,value_1=controls; value_2=refundable; value_3=enters_P&L_eventually; value_4=feeds_investor_contributor_profit_base; value_5=disclosure. Founder 1% only if eligible AND founder_allocation_assessed=false at first external receipt.,L-M
inflow_taxonomy,IN-ASSET,,Asset sales,gain_or_capital,,,,special_review,True,False,if_gain,False,related_party,value_1=controls; value_2=refundable; value_3=enters_P&L_eventually; value_4=feeds_investor_contributor_profit_base; value_5=disclosure. Founder 1% only if eligible AND founder_allocation_assessed=false at first external receipt.,L-M
inflow_taxonomy,IN-INTERNAL,,Internal transfers among Civizen entities/vehicles,elimination,,,,excluded_already_or_internal,False,False,False,False,no_reassessment,value_1=controls; value_2=refundable; value_3=enters_P&L_eventually; value_4=feeds_investor_contributor_profit_base; value_5=disclosure. Founder 1% only if eligible AND founder_allocation_assessed=false at first external receipt.,L-M
inflow_taxonomy,IN-REDIST,,Distributions of already-assessed funds,internal_distribution,,,,excluded_already_assessed,False,False,False,False,founder_allocation_assessed,value_1=controls; value_2=refundable; value_3=enters_P&L_eventually; value_4=feeds_investor_contributor_profit_base; value_5=disclosure. Founder 1% only if eligible AND founder_allocation_assessed=false at first external receipt.,L-M
inflow_taxonomy,IN-OTHER,,Other monetary receipts,case_by_case,,,,case_by_case,True,False,case_by_case,False,classify_before_use,value_1=controls; value_2=refundable; value_3=enters_P&L_eventually; value_4=feeds_investor_contributor_profit_base; value_5=disclosure. Founder 1% only if eligible AND founder_allocation_assessed=false at first external receipt.,L-M
founder_participation_pool,FPP-01,,definition,,,,,,,,,,,"Founder Participation Pool = 1% of Eligible External Monetary Receipts, assessed once at point of first receipt by a participating Civizen-related entity under governing agreement, restrictions, law, and authorization.",
founder_participation_pool,FPP-02,,no_second_assessment_on_profit,,,,,,,,,,,Do NOT assess another founder percentage when commercial receipts later produce accounting profit. Commercial profit is not an additional monetary inflow for founder assessment if underlying receipts already assessed.,
founder_participation_pool,FPP-03,,provenance_marker,,,,,,,,,,,"Maintain founder_allocation_assessed (or equivalent) on monetary value / receipt lot so the same value cannot be assessed twice across entities, accounts, vehicles, or profit distributions.",
founder_participation_pool,FPP-04,,lifecycle,,,,,,,,,,,Distinguish: (1) allocation assessment at first receipt; (2) vesting if any; (3) payment/settlement; (4) tax recognition. Accrual permitted; immediate payment not required.,
founder_participation_pool,FPP-05,,mechanism_recommendation,,,,,,,,,,,Prefer accrual or founder participation units during planning; not immediate cash diversion until counsel approves.,
founder_participation_pool,FPP-06,,authority,,,,,,,,,,,"No civic, constitutional, governmental, data, auditing, or unilateral governance authority.",
founder_funding_mechanisms,FF-IMMEDIATE,,Immediate cash 1% on receipt,,,,,,,,,,,Reduces deployable principal; highest conflict risk — not preferred | Applies to consolidated Founder Participation Pool only,L
founder_funding_mechanisms,FF-ACCRUAL,,Accrued founder allocation,,,,,,,,,,,Preserves project cash; liability until gates — acceptable | Applies to consolidated Founder Participation Pool only,L
founder_funding_mechanisms,FF-UNITS,,Founder participation units,,,,,,,,,,,No immediate diversion; redemption later — recommended with accrual twin | Applies to consolidated Founder Participation Pool only,L
eligible_profit_formula,PF-01,,Eligible commercial revenue (receipts may already carry founder_allocation_assessed),,,,,,,,,,,No founder % in this formula,
eligible_profit_formula,PF-02,,"Less refunds, taxes, and mandatory obligations",,,,,,,,,,,No founder % in this formula,
eligible_profit_formula,PF-03,,"Less salaries, benefits, health, safety, and contractual compensation",,,,,,,,,,,No founder % in this formula,
eligible_profit_formula,PF-04,,Less professional services,,,,,,,,,,,No founder % in this formula,
eligible_profit_formula,PF-05,,Less insurance,,,,,,,,,,,No founder % in this formula,
eligible_profit_formula,PF-06,,Less infrastructure and operators,,,,,,,,,,,No founder % in this formula,
eligible_profit_formula,PF-07,,"Less security, privacy, assurance, incident",,,,,,,,,,,No founder % in this formula,
eligible_profit_formula,PF-08,,"Less software, systems, maintenance, domain delivery",,,,,,,,,,,No founder % in this formula,
eligible_profit_formula,PF-09,,"Less legal, accounting, compliance, accessibility, support",,,,,,,,,,,No founder % in this formula,
eligible_profit_formula,PF-10,,"Less depreciation, replacement, bad debt, liabilities",,,,,,,,,,,No founder % in this formula,
eligible_profit_formula,PF-11,,Less required reserves,,,,,,,,,,,No founder % in this formula,
eligible_profit_formula,PF-12,,Less effects already reflecting founder receipt allocation (do not deduct a second founder %),,,,,,,,,,,No founder % in this formula,
eligible_profit_formula,PF-13,,Equals eligible distributable commercial profit,,,,,,,,,,,No founder % in this formula,
eligible_profit_formula,PF-BASE,,allocation_base_recommendation,,,,,,,,,,,Lower of audited eligible distributable commercial profit AND distributable cash after covenants/reserves. Profit split: 10% Investor / 10% Contributor / 80% Ecosystem only.,
ecosystem_80_allocation,ECO-20,,Continued core and shared-system development,,,,20,,,,,,,Share of 80% Civizen/Ecosystem Allocation of eligible distributable commercial profit. SUPERSEDES 79% table.,
ecosystem_80_allocation,ECO-13,,"Continuity, security, resilience, and long-term reserves",,,,13,,,,,,,Share of 80% Civizen/Ecosystem Allocation of eligible distributable commercial profit. SUPERSEDES 79% table.,
ecosystem_80_allocation,ECO-15,,Civilization-domain development fund,,,,15,,,,,,,Share of 80% Civizen/Ecosystem Allocation of eligible distributable commercial profit. SUPERSEDES 79% table.,
ecosystem_80_allocation,ECO-08,,"Operators, jurisdictions, and local implementation",,,,8,,,,,,,Share of 80% Civizen/Ecosystem Allocation of eligible distributable commercial profit. SUPERSEDES 79% table.,
ecosystem_80_allocation,ECO-07,,"Public-interest governance, rights, and open standards",,,,7,,,,,,,Share of 80% Civizen/Ecosystem Allocation of eligible distributable commercial profit. SUPERSEDES 79% table.,
ecosystem_80_allocation,ECO-06,,"Research, innovation, and open-source stewardship",,,,6,,,,,,,Share of 80% Civizen/Ecosystem Allocation of eligible distributable commercial profit. SUPERSEDES 79% table.,
ecosystem_80_allocation,ECO-05,,"Inclusion, accessibility, localization, and nondigital access",,,,5,,,,,,,Share of 80% Civizen/Ecosystem Allocation of eligible distributable commercial profit. SUPERSEDES 79% table.,
ecosystem_80_allocation,ECO-04,,"Ecosystem grants, education, and professional capacity",,,,4,,,,,,,Share of 80% Civizen/Ecosystem Allocation of eligible distributable commercial profit. SUPERSEDES 79% table.,
ecosystem_80_allocation,ECO-02,,Strategic renewal and emergency adaptation,,,,2,,,,,,,Share of 80% Civizen/Ecosystem Allocation of eligible distributable commercial profit. SUPERSEDES 79% table.,
ecosystem_80_allocation,ECO-SUPERSEDED-79,,superseded_79_percent_table,,,,,,,,,,,HISTORICAL: prior 79% table (with 12% continuity) existed when founder 1% was inside the profit pie. Superseded.,
combined_scenario,CS-conservative-inflows,conservative,total_monetary_inflows,,500,,,,,,,,,,
combined_scenario,CS-conservative-fpp-elig,conservative,founder_eligible_external_receipts,,280,,,,,,,,,,
combined_scenario,CS-conservative-fpp-1,conservative,founder_participation_pool_1pct_once,,2.8,,1,,,,,,,Assessed once at first receipt; accrual/units; founder_allocation_assessed=true thereafter,
combined_scenario,CS-conservative-ret99,conservative,retained_99pct_of_eligible_receipts,,277.2,,99,,,,,,,,
combined_scenario,CS-conservative-rev,conservative,commercial_revenue,,400,,,,,,,,,Not a second founder assessment base if receipts already assessed,
combined_scenario,CS-conservative-exp,conservative,comprehensive_expenses,,360,,,,,,,,,,
combined_scenario,CS-conservative-res,conservative,required_reserves,,20,,,,,,,,,,
combined_scenario,CS-conservative-profit,conservative,eligible_distributable_commercial_profit,,20,,,,,,,,,,
combined_scenario,CS-conservative-cashdist,conservative,distributable_cash_proxy,,5,,,,,,,,,,
combined_scenario,CS-conservative-base,conservative,allocation_base_lower_of_profit_and_cash,,5,,,,,,,,,,
combined_scenario,CS-conservative-inv,conservative,investor_pool_10pct,,0.5,,10,,,,,,,,
combined_scenario,CS-conservative-con,conservative,contributor_pool_10pct,,0.5,,10,,,,,,,,
combined_scenario,CS-conservative-eco,conservative,ecosystem_80pct,,4.0,,80,,,,,,,,
combined_scenario,CS-conservative-ECO-20,conservative,ECO-20,,1.0,,,,,,,,,,
combined_scenario,CS-conservative-ECO-13,conservative,ECO-13,,0.65,,,,,,,,,,
combined_scenario,CS-conservative-ECO-15,conservative,ECO-15,,0.75,,,,,,,,,,
combined_scenario,CS-conservative-ECO-08,conservative,ECO-08,,0.4,,,,,,,,,,
combined_scenario,CS-conservative-ECO-07,conservative,ECO-07,,0.35,,,,,,,,,,
combined_scenario,CS-conservative-ECO-06,conservative,ECO-06,,0.3,,,,,,,,,,
combined_scenario,CS-conservative-ECO-05,conservative,ECO-05,,0.25,,,,,,,,,,
combined_scenario,CS-conservative-ECO-04,conservative,ECO-04,,0.2,,,,,,,,,,
combined_scenario,CS-conservative-ECO-02,conservative,ECO-02,,0.1,,,,,,,,,,
combined_scenario,CS-conservative-yield,conservative,illustrative_investor_cash_yield_on_capital,,400,,,,0.0013,800.0,0.02,,,capital=400; yield=0.0013; payback=800.0; moic15=0.02; NOT a promise,
combined_scenario,CS-conservative-cunit,conservative,illustrative_contributor_unit_value,,0.0001,,,,,,,,,,
combined_scenario,CS-conservative-no-fp,conservative,founder_profit_pool_on_profit,,0,,0,,,,,,,SUPERSEDED/ZERO — no founder % on profit,
combined_scenario,CS-base-inflows,base,total_monetary_inflows,,2000,,,,,,,,,,
combined_scenario,CS-base-fpp-elig,base,founder_eligible_external_receipts,,1470,,,,,,,,,,"RECONCILED v0.1.2: sum of eligible vehicle equity-like layers (ENT500+OPS200+JUR100+DISC350+EDU120+EMP200); prior 1400 was undocumented round"
combined_scenario,CS-base-fpp-1,base,founder_participation_pool_1pct_once,,14.7,,1,,,,,,,RECONCILED: exactly 1% of 1470; prior 14.0 superseded as placeholder. Accrual/units same entitlement; founder_allocation_assessed=true thereafter,
combined_scenario,CS-base-ret99,base,retained_99pct_of_eligible_receipts,,1455.3,,99,,,,,,,99% of 1470,
combined_scenario,CS-base-rev,base,commercial_revenue,,2200,,,,,,,,,Not a second founder assessment base if receipts already assessed,
combined_scenario,CS-base-exp,base,comprehensive_expenses,,1760,,,,,,,,,,
combined_scenario,CS-base-res,base,required_reserves,,80,,,,,,,,,,
combined_scenario,CS-base-profit,base,eligible_distributable_commercial_profit,,360,,,,,,,,,,
combined_scenario,CS-base-cashdist,base,distributable_cash_proxy,,310,,,,,,,,,,
combined_scenario,CS-base-base,base,allocation_base_lower_of_profit_and_cash,,310,,,,,,,,,,
combined_scenario,CS-base-inv,base,investor_pool_10pct,,31.0,,10,,,,,,,,
combined_scenario,CS-base-con,base,contributor_pool_10pct,,31.0,,10,,,,,,,,
combined_scenario,CS-base-eco,base,ecosystem_80pct,,248.0,,80,,,,,,,,
combined_scenario,CS-base-ECO-20,base,ECO-20,,62.0,,,,,,,,,,
combined_scenario,CS-base-ECO-13,base,ECO-13,,40.3,,,,,,,,,,
combined_scenario,CS-base-ECO-15,base,ECO-15,,46.5,,,,,,,,,,
combined_scenario,CS-base-ECO-08,base,ECO-08,,24.8,,,,,,,,,,
combined_scenario,CS-base-ECO-07,base,ECO-07,,21.7,,,,,,,,,,
combined_scenario,CS-base-ECO-06,base,ECO-06,,18.6,,,,,,,,,,
combined_scenario,CS-base-ECO-05,base,ECO-05,,15.5,,,,,,,,,,
combined_scenario,CS-base-ECO-04,base,ECO-04,,12.4,,,,,,,,,,
combined_scenario,CS-base-ECO-02,base,ECO-02,,6.2,,,,,,,,,,
combined_scenario,CS-base-yield,base,illustrative_investor_cash_yield_on_capital,,800,,,,0.0387,25.8,0.58,,,capital=800; yield=0.0387; payback=25.8; moic15=0.58; NOT a promise,
combined_scenario,CS-base-cunit,base,illustrative_contributor_unit_value,,0.0031,,,,,,,,,,
combined_scenario,CS-base-no-fp,base,founder_profit_pool_on_profit,,0,,0,,,,,,,SUPERSEDED/ZERO — no founder % on profit,
combined_scenario,CS-population_scale-inflows,population_scale,total_monetary_inflows,,8000,,,,,,,,,,
combined_scenario,CS-population_scale-fpp-elig,population_scale,founder_eligible_external_receipts,,6500,,,,,,,,,,
combined_scenario,CS-population_scale-fpp-1,population_scale,founder_participation_pool_1pct_once,,65.0,,1,,,,,,,Assessed once at first receipt; accrual/units; founder_allocation_assessed=true thereafter,
combined_scenario,CS-population_scale-ret99,population_scale,retained_99pct_of_eligible_receipts,,6435.0,,99,,,,,,,,
combined_scenario,CS-population_scale-rev,population_scale,commercial_revenue,,12000,,,,,,,,,Not a second founder assessment base if receipts already assessed,
combined_scenario,CS-population_scale-exp,population_scale,comprehensive_expenses,,9000,,,,,,,,,,
combined_scenario,CS-population_scale-res,population_scale,required_reserves,,400,,,,,,,,,,
combined_scenario,CS-population_scale-profit,population_scale,eligible_distributable_commercial_profit,,2600,,,,,,,,,,
combined_scenario,CS-population_scale-cashdist,population_scale,distributable_cash_proxy,,2400,,,,,,,,,,
combined_scenario,CS-population_scale-base,population_scale,allocation_base_lower_of_profit_and_cash,,2400,,,,,,,,,,
combined_scenario,CS-population_scale-inv,population_scale,investor_pool_10pct,,240.0,,10,,,,,,,,
combined_scenario,CS-population_scale-con,population_scale,contributor_pool_10pct,,240.0,,10,,,,,,,,
combined_scenario,CS-population_scale-eco,population_scale,ecosystem_80pct,,1920.0,,80,,,,,,,,
combined_scenario,CS-population_scale-ECO-20,population_scale,ECO-20,,480.0,,,,,,,,,,
combined_scenario,CS-population_scale-ECO-13,population_scale,ECO-13,,312.0,,,,,,,,,,
combined_scenario,CS-population_scale-ECO-15,population_scale,ECO-15,,360.0,,,,,,,,,,
combined_scenario,CS-population_scale-ECO-08,population_scale,ECO-08,,192.0,,,,,,,,,,
combined_scenario,CS-population_scale-ECO-07,population_scale,ECO-07,,168.0,,,,,,,,,,
combined_scenario,CS-population_scale-ECO-06,population_scale,ECO-06,,144.0,,,,,,,,,,
combined_scenario,CS-population_scale-ECO-05,population_scale,ECO-05,,120.0,,,,,,,,,,
combined_scenario,CS-population_scale-ECO-04,population_scale,ECO-04,,96.0,,,,,,,,,,
combined_scenario,CS-population_scale-ECO-02,population_scale,ECO-02,,48.0,,,,,,,,,,
combined_scenario,CS-population_scale-yield,population_scale,illustrative_investor_cash_yield_on_capital,,1050,,,,0.2286,4.4,3.43,,,capital=1050; yield=0.2286; payback=4.4; moic15=3.43; NOT a promise,
combined_scenario,CS-population_scale-cunit,population_scale,illustrative_contributor_unit_value,,0.024,,,,,,,,,,
combined_scenario,CS-population_scale-no-fp,population_scale,founder_profit_pool_on_profit,,0,,0,,,,,,,SUPERSEDED/ZERO — no founder % on profit,
combined_scenario,CS-meta_like_maturity-inflows,meta_like_maturity,total_monetary_inflows,,20000,,,,,,,,,,
combined_scenario,CS-meta_like_maturity-fpp-elig,meta_like_maturity,founder_eligible_external_receipts,,18000,,,,,,,,,,
combined_scenario,CS-meta_like_maturity-fpp-1,meta_like_maturity,founder_participation_pool_1pct_once,,180.0,,1,,,,,,,Assessed once at first receipt; accrual/units; founder_allocation_assessed=true thereafter,
combined_scenario,CS-meta_like_maturity-ret99,meta_like_maturity,retained_99pct_of_eligible_receipts,,17820.0,,99,,,,,,,,
combined_scenario,CS-meta_like_maturity-rev,meta_like_maturity,commercial_revenue,,50000,,,,,,,,,Not a second founder assessment base if receipts already assessed,
combined_scenario,CS-meta_like_maturity-exp,meta_like_maturity,comprehensive_expenses,,30000,,,,,,,,,,
combined_scenario,CS-meta_like_maturity-res,meta_like_maturity,required_reserves,,2000,,,,,,,,,,
combined_scenario,CS-meta_like_maturity-profit,meta_like_maturity,eligible_distributable_commercial_profit,,18000,,,,,,,,,,
combined_scenario,CS-meta_like_maturity-cashdist,meta_like_maturity,distributable_cash_proxy,,17500,,,,,,,,,,
combined_scenario,CS-meta_like_maturity-base,meta_like_maturity,allocation_base_lower_of_profit_and_cash,,17500,,,,,,,,,,
combined_scenario,CS-meta_like_maturity-inv,meta_like_maturity,investor_pool_10pct,,1750.0,,10,,,,,,,,
combined_scenario,CS-meta_like_maturity-con,meta_like_maturity,contributor_pool_10pct,,1750.0,,10,,,,,,,,
combined_scenario,CS-meta_like_maturity-eco,meta_like_maturity,ecosystem_80pct,,14000.0,,80,,,,,,,,
combined_scenario,CS-meta_like_maturity-ECO-20,meta_like_maturity,ECO-20,,3500.0,,,,,,,,,,
combined_scenario,CS-meta_like_maturity-ECO-13,meta_like_maturity,ECO-13,,2275.0,,,,,,,,,,
combined_scenario,CS-meta_like_maturity-ECO-15,meta_like_maturity,ECO-15,,2625.0,,,,,,,,,,
combined_scenario,CS-meta_like_maturity-ECO-08,meta_like_maturity,ECO-08,,1400.0,,,,,,,,,,
combined_scenario,CS-meta_like_maturity-ECO-07,meta_like_maturity,ECO-07,,1225.0,,,,,,,,,,
combined_scenario,CS-meta_like_maturity-ECO-06,meta_like_maturity,ECO-06,,1050.0,,,,,,,,,,
combined_scenario,CS-meta_like_maturity-ECO-05,meta_like_maturity,ECO-05,,875.0,,,,,,,,,,
combined_scenario,CS-meta_like_maturity-ECO-04,meta_like_maturity,ECO-04,,700.0,,,,,,,,,,
combined_scenario,CS-meta_like_maturity-ECO-02,meta_like_maturity,ECO-02,,350.0,,,,,,,,,,
combined_scenario,CS-meta_like_maturity-yield,meta_like_maturity,illustrative_investor_cash_yield_on_capital,,1050,,,,1.6667,0.6,25.0,,,capital=1050; yield=1.6667; payback=0.6; moic15=25.0; NOT a promise,
combined_scenario,CS-meta_like_maturity-cunit,meta_like_maturity,illustrative_contributor_unit_value,,0.175,,,,,,,,,,
combined_scenario,CS-meta_like_maturity-no-fp,meta_like_maturity,founder_profit_pool_on_profit,,0,,0,,,,,,,SUPERSEDED/ZERO — no founder % on profit,
combined_scenario,CS-stress50-base,stress_50pct_revenue,allocation_base,,0,,,,,,,,,inv=0.0; contrib=0.0; eco=0.0; fpp_still_on_receipts_if_received=14.0,
unit_methods,U-INV-EQUAL,,Investor units: equal inflation/currency-adjusted capital units,,,,,,,,,,,Preferred start,
unit_methods,U-CON-FV,,Contributor units: fair-value deliverable units,,,,,,,,,,,Preferred,
unit_methods,U-FPP,,Founder Participation units from 1% receipt assessment,,,,,,,,,,,Tracks assessed lots with founder_allocation_assessed provenance,
policy_rules,DUP-01,,no_duplicate_founder_assessment,,,,,,,,,,,Same monetary value assessed at most once. Salary/expense reimbursement/contributor units for work are separate from Founder Participation Pool and require netting rules where overlapping.,
policy_rules,DUP-02,,profit_not_second_inflow,,,,,,,,,,,Do not describe commercial profit as an additional monetary inflow for founder assessment when underlying receipts already assessed.,
fpp_reconciliation,FPP-R-NOTE,,horizon_and_correction,,,,,,,,,,,v0.1.2: 5y capital-formation reconciliation. Columns are private-capital eligibility cases within the ~$37.5B base ecosystem scenario — NOT ecosystem Low/Base/High. Prior base FPP 14.0 on 1400 undocumented round SUPERSEDED by 14.7 on 1470. Policy unchanged. Commercial profit not a second FPP base. Units=accrual same entitlement.,
fpp_reconciliation,FPP-R-ECO,,gross_external_5y_ecosystem_hypothesis,,37500,,,,,,,,,,Same L/B/H; most never enters Civizen-controlled entity,
fpp_reconciliation,FPP-R-ENT-L,low,receipts_entering_participating_entities,,1102,,,,,,,,,private900+validation202,
fpp_reconciliation,FPP-R-ENT-B,base,receipts_entering_participating_entities,,3246,,,,,,,,,private2800+validation446,
fpp_reconciliation,FPP-R-ENT-H,high,receipts_entering_participating_entities,,7298,,,,,,,,,private6400+validation898,
