section,row_id,vehicle,scenario,instrument,label,active_users_m,amount_usd_m,amount_usd_b,pct,rpu_usd,margin,irr,moic,payback_years,tv_dependent,confidence,evidence_class,value_1,value_2,value_3,value_4,value_5,notes
ad_discovery_streams,AD-3P,V-DISC,,,Ads in optional third-party commercial apps,,,,,,0.45,,,,,L-M,adoption_sensitive,App publishers / marketers,Certified commercial app surfaces,Rev-share,3P commercial MAU,Core civic apps; identity wallet,consent=Publisher policy + user controls; targeting_data=App-declared context; prohibited_data=Civizen core sensitive stores
ad_discovery_streams,AD-MEAS,V-DISC,,,Privacy-preserving aggregate measurement,,,,,,0.7,,,,,L-M,adoption_sensitive,Marketers,Reporting API,Included or SaaS fee,campaigns,No individual re-identification,consent=Contractual DPAs; targeting_data=Aggregates/differential privacy; prohibited_data=raw event-level personal data
prohibited_monetization,PROH-sale_of_personal_data,,,,sale_of_personal_data,,,,,,,,,,,,prohibited,,,,,,Hard exclude from all scenarios
prohibited_monetization,PROH-health_political_voting_,,,,health_political_voting_justice_identity_financial_gov_records_targeting,,,,,,,,,,,,prohibited,,,,,,Hard exclude from all scenarios
prohibited_monetization,PROH-political_microtargeting,,,,political_microtargeting,,,,,,,,,,,,prohibited,,,,,,Hard exclude from all scenarios
prohibited_monetization,PROH-paid_influence_over_gove,,,,paid_influence_over_governance,,,,,,,,,,,,prohibited,,,,,,Hard exclude from all scenarios
prohibited_monetization,PROH-ads_affecting_public_ser,,,,ads_affecting_public_service_eligibility,,,,,,,,,,,,prohibited,,,,,,Hard exclude from all scenarios
prohibited_monetization,PROH-undisclosed_sponsored_co,,,,undisclosed_sponsored_content,,,,,,,,,,,,prohibited,,,,,,Hard exclude from all scenarios
prohibited_monetization,PROH-mandatory_citizen_fees,,,,mandatory_citizen_fees,,,,,,,,,,,,prohibited,,,,,,Hard exclude from all scenarios
prohibited_monetization,PROH-addictive_engagement_req,,,,addictive_engagement_requirements,,,,,,,,,,,,prohibited,,,,,,Hard exclude from all scenarios
prohibited_monetization,PROH-preferential_treatment_i,,,,preferential_treatment_in_audit_justice_regulation_civic_decisions,,,,,,,,,,,,prohibited,,,,,,Hard exclude from all scenarios
vehicles,V-ENT,V-ENT,,,Commercial enterprise-services company,,,0.7,,,,,,,,L,architecture,0.25,0.7,1.4,,,"assets=Enterprise APIs, integrations, workflow tools, training IP (commercial), support org | customers=Enterprises, institutions, operators buying commercial support | revenue=API subs, SOWs, managed impl, workflows, TA | ownership=Separate commercial corp; mission lock; ownership caps | mission=No civic-vote control; no citizen-data assetization | deps=Public open standards/APIs from foundation | transfer=Arm-length license/royalty or cost-share for public reference components | coi=Board separation; related-party disclosure | exit=Trade sale / IPO of commercial only; no sale of citizen data or governance rights | investable=True"
vehicles,V-OPS,V-OPS,,,Operator and infrastructure vehicles (SPVs),,,0.9,,,,,,,,L,architecture,0.3,0.9,2.0,,,"assets=Regional hosting, SLAs, security ops capacity | customers=Jurisdictions, institutions, commercial tenants | revenue=Availability payments, hosting contracts, capacity reservations, managed security | ownership=Operator equity + project lenders; concession agreements | mission=Independence/diversity of operators; removal clauses | deps=Certification by independent function; federation standards | transfer=Certification fees per policy; infra not owning identity authority | coi=Operator independence tests | exit=Concession transfer; debt refinance; equity sale within caps | investable=True"
vehicles,V-JUR,V-JUR,,,Jurisdiction implementation vehicles,,,0.5,,,,,,,,L,architecture,0.15,0.5,1.2,,,"assets=Delivery teams, migration tooling commercial layer, local support | customers=Governments / agencies via procurement | revenue=Procurement milestones, maintenance, training | ownership=Local delivery JV or contractor; often public co-finance | mission=Cannot sell governmental authority | deps=Legal feasibility; J participation instruments | transfer=Use of public standards; no exclusive lock on public data | coi=Procurement integrity | exit=Contract completion; limited residual equity | investable=True"
vehicles,V-DISC,V-DISC,,,Commercial discovery & marketplace services company,,,0.35,,,,,,,,L,architecture,0.1,0.35,0.9,,,"assets=Ad/discovery platform for permitted commercial surfaces; seller tools | customers=Businesses, employers, educators (commercial), local merchants | revenue=Contextual ads, sponsored listings, commercial search, jobs promo | ownership=Commercial subsidiary or affiliate of V-ENT | mission=Strict prohibited-context walls; disclosure; no sensitive targeting | deps=User base from public platform; must not degrade civic UX | transfer=Platform access fee / revenue share to foundation for commons upkeep (policy TBD) | coi=Editorial/civic separation | exit=Same as commercial; policy breach = clawback | investable=True"
vehicles,V-SEC-EDU,V-SEC-EDU,,,Sector venture: education & credentials (commercial layer),,,0.15,,,,,,,,L,architecture,0.05,0.15,0.4,,,"assets=Credential verification SaaS for employers/schools (optional) | customers=Universities, employers, training orgs | revenue=Verification API, premium issuer tools | ownership=Sector JV or product line under V-ENT | mission=No paywall on person viewing own credentials; no student-record ads | deps=Public credential standards | transfer=Standards from foundation | coi=Accreditation independence | exit=Product line sale | investable=True"
vehicles,V-SEC-EMP,V-SEC-EMP,,,Sector venture: business & employment services,,,0.2,,,,,,,,L,architecture,0.05,0.2,0.5,,,"assets=Employer tools, hiring promo, B2B directory | customers=Employers, staffing firms | revenue=Job promo, recruiter seats, B2B listings | ownership=Under V-ENT/V-DISC | mission=No discrimination tooling; disclose sponsored jobs | deps=Jobs lane UX | transfer=Shared with discovery vehicle | coi=Labor-rights review | exit=Product line sale | investable=True"
vehicles,V-FOUND,V-FOUND,,,Public-interest foundation / steward,,,0,,,,,,,,L,architecture,0,0,0,,,"assets=Constitution, open standards, public reference code, grants, HR protections | customers=Public / grantors (not investors) | revenue=Grants, gifts — NOT investor distributions | ownership=Nonprofit/steward governance | mission=Mission lock; no private investor payouts from restricted funds | deps=n/a | transfer=Receives commons contribution from commercial vehicles | coi=Independent from commercial boards on reserved matters | exit=n/a — perpetual steward | investable=False"
vehicles,V-OVR,V-OVR,,,Independent oversight & assurance,,,0,,,,,,,,L,architecture,0,0,0,,,"assets=Review panels, assurance contracts administration | customers=n/a | revenue=Ring-fenced assessments/grants | ownership=Independent | mission=Protected from investor control | deps=D7 escrow | transfer=None to investors | coi=SoD | exit=n/a | investable=False"
investable_reassessment,INV-REV-TOTAL,,,,revised_private_capital_by_vehicle_sum,,,2.8,,,,,,,,,,0.9,2.8,6.4,,,Revised L/B/H $0.90B/$2.80B/$6.40B assignable to vehicles with customers/revenue. Prior doc20 $0.9/$2.8/$6.3 included looser blended. Catalytic first-loss additional $0.1–1.0B not counted as return-seeking equity.
vehicle_capital_stack,STK-V-ENT-grants_ta,V-ENT,base,grants_ta,,,,0.05,,,,,,,,L,,,,,,,Base stack illustration; cheaper contract debt preferred over high-risk equity for contracted CF
vehicle_capital_stack,STK-V-ENT-senior_debt,V-ENT,base,senior_debt,,,,0.15,,,,,,,,L,,,,,,,Base stack illustration; cheaper contract debt preferred over high-risk equity for contracted CF
vehicle_capital_stack,STK-V-ENT-preferred_equity,V-ENT,base,preferred_equity,,,,0.2,,,,,,,,L,,,,,,,Base stack illustration; cheaper contract debt preferred over high-risk equity for contracted CF
vehicle_capital_stack,STK-V-ENT-common_equity,V-ENT,base,common_equity,,,,0.25,,,,,,,,L,,,,,,,Base stack illustration; cheaper contract debt preferred over high-risk equity for contracted CF
vehicle_capital_stack,STK-V-ENT-capped_rr,V-ENT,base,capped_rr,,,,0.05,,,,,,,,L,,,,,,,Base stack illustration; cheaper contract debt preferred over high-risk equity for contracted CF
vehicle_capital_stack,STK-V-OPS-public_first_loss,V-OPS,base,public_first_loss,,,,0.15,,,,,,,,L,,,,,,,Base stack illustration; cheaper contract debt preferred over high-risk equity for contracted CF
vehicle_capital_stack,STK-V-OPS-guarantees,V-OPS,base,guarantees,,,,0.05,,,,,,,,L,,,,,,,Base stack illustration; cheaper contract debt preferred over high-risk equity for contracted CF
vehicle_capital_stack,STK-V-OPS-senior_debt,V-OPS,base,senior_debt,,,,0.4,,,,,,,,L,,,,,,,Base stack illustration; cheaper contract debt preferred over high-risk equity for contracted CF
vehicle_capital_stack,STK-V-OPS-subordinated_debt,V-OPS,base,subordinated_debt,,,,0.1,,,,,,,,L,,,,,,,Base stack illustration; cheaper contract debt preferred over high-risk equity for contracted CF
vehicle_capital_stack,STK-V-OPS-operator_equity,V-OPS,base,operator_equity,,,,0.15,,,,,,,,L,,,,,,,Base stack illustration; cheaper contract debt preferred over high-risk equity for contracted CF
vehicle_capital_stack,STK-V-OPS-strategic,V-OPS,base,strategic,,,,0.05,,,,,,,,L,,,,,,,Base stack illustration; cheaper contract debt preferred over high-risk equity for contracted CF
vehicle_capital_stack,STK-V-JUR-public_cofinance,V-JUR,base,public_cofinance,,,,0.2,,,,,,,,L,,,,,,,Base stack illustration; cheaper contract debt preferred over high-risk equity for contracted CF
vehicle_capital_stack,STK-V-JUR-grants_ta,V-JUR,base,grants_ta,,,,0.05,,,,,,,,L,,,,,,,Base stack illustration; cheaper contract debt preferred over high-risk equity for contracted CF
vehicle_capital_stack,STK-V-JUR-senior_contract_debt,V-JUR,base,senior_contract_debt,,,,0.15,,,,,,,,L,,,,,,,Base stack illustration; cheaper contract debt preferred over high-risk equity for contracted CF
vehicle_capital_stack,STK-V-JUR-delivery_equity,V-JUR,base,delivery_equity,,,,0.1,,,,,,,,L,,,,,,,Base stack illustration; cheaper contract debt preferred over high-risk equity for contracted CF
vehicle_capital_stack,STK-V-DISC-common_equity,V-DISC,base,common_equity,,,,0.2,,,,,,,,L,,,,,,,Base stack illustration; cheaper contract debt preferred over high-risk equity for contracted CF
vehicle_capital_stack,STK-V-DISC-preferred_equity,V-DISC,base,preferred_equity,,,,0.08,,,,,,,,L,,,,,,,Base stack illustration; cheaper contract debt preferred over high-risk equity for contracted CF
vehicle_capital_stack,STK-V-DISC-capped_rr,V-DISC,base,capped_rr,,,,0.05,,,,,,,,L,,,,,,,Base stack illustration; cheaper contract debt preferred over high-risk equity for contracted CF
vehicle_capital_stack,STK-V-DISC-strategic,V-DISC,base,strategic,,,,0.02,,,,,,,,L,,,,,,,Base stack illustration; cheaper contract debt preferred over high-risk equity for contracted CF
vehicle_capital_stack,STK-V-SEC-EDU-common_equity,V-SEC-EDU,base,common_equity,,,,0.08,,,,,,,,L,,,,,,,Base stack illustration; cheaper contract debt preferred over high-risk equity for contracted CF
vehicle_capital_stack,STK-V-SEC-EDU-strategic,V-SEC-EDU,base,strategic,,,,0.04,,,,,,,,L,,,,,,,Base stack illustration; cheaper contract debt preferred over high-risk equity for contracted CF
vehicle_capital_stack,STK-V-SEC-EDU-grants_ta,V-SEC-EDU,base,grants_ta,,,,0.03,,,,,,,,L,,,,,,,Base stack illustration; cheaper contract debt preferred over high-risk equity for contracted CF
vehicle_capital_stack,STK-V-SEC-EMP-common_equity,V-SEC-EMP,base,common_equity,,,,0.1,,,,,,,,L,,,,,,,Base stack illustration; cheaper contract debt preferred over high-risk equity for contracted CF
vehicle_capital_stack,STK-V-SEC-EMP-preferred_equity,V-SEC-EMP,base,preferred_equity,,,,0.05,,,,,,,,L,,,,,,,Base stack illustration; cheaper contract debt preferred over high-risk equity for contracted CF
vehicle_capital_stack,STK-V-SEC-EMP-capped_rr,V-SEC-EMP,base,capped_rr,,,,0.05,,,,,,,,L,,,,,,,Base stack illustration; cheaper contract debt preferred over high-risk equity for contracted CF
target_return_classes,TRC-senior_contract_backed_debt,,,senior_contract_backed_debt,,,,,,,,,,,False,M,market_assumption,0.055,0.075,0.09,,,Infra/project debt comps; contracted CF
target_return_classes,TRC-subordinated_debt,,,subordinated_debt,,,,,,,,,,,False,M,market_assumption,0.09,0.12,0.15,,,Mezzanine / holdco debt comps
target_return_classes,TRC-infrastructure_equity,,,infrastructure_equity,,,,,,,,,,,True,M,market_assumption,0.08,0.12,0.15,,,Core infra equity target ranges
target_return_classes,TRC-preferred_commercial_equity,,,preferred_commercial_equity,,,,,,,,,,,True,M,market_assumption,0.08,0.12,0.16,,,Preferred with soft coupon + participation
target_return_classes,TRC-common_growth_equity,,,common_growth_equity,,,,,,,,,,,True,M,market_assumption,0.15,0.22,0.3,,,Growth equity / VC-like — often TV dependent
target_return_classes,TRC-capped_revenue_participation,,,capped_revenue_participation,,,,,,,,,,,False,M,market_assumption,0.08,0.12,0.15,,,Target IRR with hard MOIC cap 1.5–2.0x
target_return_classes,TRC-impact_concessionary,,,impact_concessionary,,,,,,,,,,,False,M,market_assumption,0.0,0.03,0.06,,,Below-market catalytic / first-loss
target_return_classes,TRC-strategic_access,,,strategic_access,,,,,,,,,,,True,M,market_assumption,0.05,0.1,0.12,,,Strategic may accept lower cash IRR for access
contract_backed_revenue,CR-API,V-ENT,,,Enterprise API subscriptions,,,,,,0.7,,,,,L,contract_backed,Enterprises,commercial_procurement,per_tenant_month,med,,Stream definition for underwriting. No invented signed customers.
contract_backed_revenue,CR-SOW,V-ENT,,,Integration/implementation SOWs,,,,,,0.28,,,,,L,contract_backed,Institutions,RFP/SOW,project,high,,Stream definition for underwriting. No invented signed customers.
contract_backed_revenue,CR-SUP,V-ENT,,,Recurring institutional support,,,,,,0.55,,,,,L,contract_backed,Institutions,MSA,annual,med,,Stream definition for underwriting. No invented signed customers.
contract_backed_revenue,CR-TRN,V-ENT,,,Training/TA,,,,,,0.45,,,,,L,contract_backed,J/institutions,PO,day_rate,low,,Stream definition for underwriting. No invented signed customers.
contract_backed_revenue,CR-AVL,V-OPS,,,Availability payments,,,,,,0.22,,,,,L,contract_backed,Governments,PPP/concession,availability,high,,Stream definition for underwriting. No invented signed customers.
contract_backed_revenue,CR-HOST,V-OPS,,,Managed hosting SLAs,,,,,,0.35,,,,,L,contract_backed,Institutions/operators,contract,node_month,med,,Stream definition for underwriting. No invented signed customers.
contract_backed_revenue,CR-SEC,V-OPS,,,Managed security ops,,,,,,0.3,,,,,L,contract_backed,Operators/J,contract,annual,med,,Stream definition for underwriting. No invented signed customers.
contract_backed_revenue,CR-JP,V-JUR,,,Jurisdiction implementation milestones,,,,,,0.18,,,,,L,contract_backed,Governments,procurement,milestone,high,,Stream definition for underwriting. No invented signed customers.
contract_backed_revenue,CR-MAINT,V-JUR,,,J maintenance agreements,,,,,,0.25,,,,,L,contract_backed,Governments,framework,annual,med,,Stream definition for underwriting. No invented signed customers.
contract_backed_revenue,CR-EDU,V-SEC-EDU,,,Credential verification SaaS,,,,,,0.65,,,,,L,contract_backed,Employers/schools,subscription,per_verify,med,,Stream definition for underwriting. No invented signed customers.
contract_backed_revenue,CR-JOB,V-SEC-EMP,,,Recruiter/employer seats,,,,,,0.7,,,,,L,adoption_sensitive,Employers,subscription,seat,med,,Stream definition for underwriting. No invented signed customers.
vehicle_annual_revenue_midwave,VAR-V-ENT,V-ENT,midwave_y8,,,,,2.2,,,,,,,,L,mixed,0.8,2.2,4.5,,,$B/yr concurrent realistic mid-wave; JUR mostly public budgets — private investable is delivery equity slice only
vehicle_annual_revenue_midwave,VAR-V-OPS,V-OPS,midwave_y8,,,,,1.8,,,,,,,,L,mixed,0.6,1.8,4.0,,,$B/yr concurrent realistic mid-wave; JUR mostly public budgets — private investable is delivery equity slice only
vehicle_annual_revenue_midwave,VAR-V-JUR,V-JUR,midwave_y8,,,,,2.5,,,,,,,,L,mixed,1.0,2.5,5.0,,,$B/yr concurrent realistic mid-wave; JUR mostly public budgets — private investable is delivery equity slice only
vehicle_annual_revenue_midwave,VAR-V-DISC,V-DISC,midwave_y8,,,,,0.9,,,,,,,,L,mixed,0.2,0.9,2.5,,,$B/yr concurrent realistic mid-wave; JUR mostly public budgets — private investable is delivery equity slice only
vehicle_annual_revenue_midwave,VAR-V-SEC-EDU,V-SEC-EDU,midwave_y8,,,,,0.35,,,,,,,,L,mixed,0.1,0.35,0.8,,,$B/yr concurrent realistic mid-wave; JUR mostly public budgets — private investable is delivery equity slice only
vehicle_annual_revenue_midwave,VAR-V-SEC-EMP,V-SEC-EMP,midwave_y8,,,,,0.4,,,,,,,,L,mixed,0.1,0.4,1.0,,,$B/yr concurrent realistic mid-wave; JUR mostly public budgets — private investable is delivery equity slice only
vehicle_15y_gross_revenue,V15-V-ENT,V-ENT,,,,,,28.05,,,,,,,,L,scenario,10.2,28.05,57.38,,,
vehicle_15y_gross_revenue,V15-V-OPS,V-OPS,,,,,,22.95,,,,,,,,L,scenario,7.65,22.95,51.0,,,
vehicle_15y_gross_revenue,V15-V-JUR,V-JUR,,,,,,31.88,,,,,,,,L,scenario,12.75,31.88,63.75,,,
vehicle_15y_gross_revenue,V15-V-DISC,V-DISC,,,,,,11.47,,,,,,,,L,scenario,2.55,11.47,31.88,,,
vehicle_15y_gross_revenue,V15-V-SEC-EDU,V-SEC-EDU,,,,,,4.46,,,,,,,,L,scenario,1.28,4.46,10.2,,,
vehicle_15y_gross_revenue,V15-V-SEC-EMP,V-SEC-EMP,,,,,,5.1,,,,,,,,L,scenario,1.28,5.1,12.75,,,
vehicle_15y_gross_revenue,V15-TOTAL-VEHICLE,,,,sum_vehicle_15y_excluding_extra_billion_user_spike,,,103.91,,,,,,,,,,35.71,103.91,226.96,,,Vehicle bottom-up 15y ~$35.71/$103.91/$226.96B. Doc20 ~$21.3B is ENT-centric; multi-vehicle gross can exceed but JUR is mostly public CF not private equity. Lawful discovery can add more at population scale (see scale_scenarios).
scale_scenarios,SC-early_institutional-conservative,,conservative,,early_institutional,5,200,,,40,0.05,,,,,L,contract_backed,400,30.0,170.0,5.5,,annual $M; op_margin=0.05; inv5=0.3; inv10=0.6; inv15=0.8; contrib same; rem_at_10_10=4.4
scale_scenarios,SC-early_institutional-base,,base,,early_institutional,5,400,,,80,0.1,,,,,L,contract_backed,750,60.0,340.0,22.0,,annual $M; op_margin=0.1; inv5=1.1; inv10=2.2; inv15=3.3; contrib same; rem_at_10_10=17.6
scale_scenarios,SC-early_institutional-high,,high,,early_institutional,5,750,,,150,0.15,,,,,L,contract_backed,1250,112.5,637.5,61.9,,annual $M; op_margin=0.15; inv5=3.1; inv10=6.2; inv15=9.3; contrib same; rem_at_10_10=49.5
scale_scenarios,SC-100m-conservative,,conservative,,100m,100,300,,,3,0.12,,,,,L,adoption_sensitive,8000,135.0,165.0,19.8,,annual $M; op_margin=0.12; inv5=1.0; inv10=2.0; inv15=3.0; contrib same; rem_at_10_10=15.8
scale_scenarios,SC-100m-base,,base,,100m,100,800,,,8,0.18,,,,,L,adoption_sensitive,15000,360.0,440.0,79.2,,annual $M; op_margin=0.18; inv5=4.0; inv10=7.9; inv15=11.9; contrib same; rem_at_10_10=63.4
scale_scenarios,SC-100m-high,,high,,100m,100,1800,,,18,0.25,,,,,L,adoption_sensitive,25000,810.0,990.0,247.5,,annual $M; op_margin=0.25; inv5=12.4; inv10=24.8; inv15=37.1; contrib same; rem_at_10_10=198.0
scale_scenarios,SC-500m-conservative,,conservative,,500m,500,2000,,,4,0.15,,,,,L,adoption_sensitive,40000,900.0,1100.0,165.0,,annual $M; op_margin=0.15; inv5=8.2; inv10=16.5; inv15=24.8; contrib same; rem_at_10_10=132.0
scale_scenarios,SC-500m-base,,base,,500m,500,5000,,,10,0.22,,,,,L,adoption_sensitive,75000,2250.0,2750.0,605.0,,annual $M; op_margin=0.22; inv5=30.2; inv10=60.5; inv15=90.8; contrib same; rem_at_10_10=484.0
scale_scenarios,SC-500m-high,,high,,500m,500,11000,,,22,0.3,,,,,L,adoption_sensitive,125000,4950.0,6050.0,1815.0,,annual $M; op_margin=0.3; inv5=90.8; inv10=181.5; inv15=272.2; contrib same; rem_at_10_10=1452.0
scale_scenarios,SC-1b-conservative,,conservative,,1b,1000,5000,,,5,0.15,,,,,L,adoption_sensitive,80000,2250.0,2750.0,412.5,,annual $M; op_margin=0.15; inv5=20.6; inv10=41.2; inv15=61.9; contrib same; rem_at_10_10=330.0
scale_scenarios,SC-1b-base,,base,,1b,1000,12000,,,12,0.22,,,,,L,adoption_sensitive,150000,5400.0,6600.0,1452.0,,annual $M; op_margin=0.22; inv5=72.6; inv10=145.2; inv15=217.8; contrib same; rem_at_10_10=1161.6
scale_scenarios,SC-1b-high,,high,,1b,1000,28000,,,28,0.3,,,,,L,adoption_sensitive,250000,12600.0,15400.0,4620.0,,annual $M; op_margin=0.3; inv5=231.0; inv10=462.0; inv15=693.0; contrib same; rem_at_10_10=3696.0
scale_scenarios,SC-2b-conservative,,conservative,,2b,2000,12000,,,6,0.15,,,,,L,adoption_sensitive,160000,5400.0,6600.0,990.0,,annual $M; op_margin=0.15; inv5=49.5; inv10=99.0; inv15=148.5; contrib same; rem_at_10_10=792.0
scale_scenarios,SC-2b-base,,base,,2b,2000,28000,,,14,0.22,,,,,L,adoption_sensitive,300000,12600.0,15400.0,3388.0,,annual $M; op_margin=0.22; inv5=169.4; inv10=338.8; inv15=508.2; contrib same; rem_at_10_10=2710.4
scale_scenarios,SC-2b-high,,high,,2b,2000,64000,,,32,0.3,,,,,L,adoption_sensitive,500000,28800.0,35200.0,10560.0,,annual $M; op_margin=0.3; inv5=528.0; inv10=1056.0; inv15=1584.0; contrib same; rem_at_10_10=8448.0
scale_scenarios,SC-4b-conservative,,conservative,,4b,4000,28000,,,7,0.15,,,,,L,adoption_sensitive,320000,12600.0,15400.0,2310.0,,annual $M; op_margin=0.15; inv5=115.5; inv10=231.0; inv15=346.5; contrib same; rem_at_10_10=1848.0
scale_scenarios,SC-4b-base,,base,,4b,4000,64000,,,16,0.22,,,,,L,adoption_sensitive,600000,28800.0,35200.0,7744.0,,annual $M; op_margin=0.22; inv5=387.2; inv10=774.4; inv15=1161.6; contrib same; rem_at_10_10=6195.2
scale_scenarios,SC-4b-high,,high,,4b,4000,144000,,,36,0.3,,,,,L,adoption_sensitive,1000000,64800.0,79200.0,23760.0,,annual $M; op_margin=0.3; inv5=1188.0; inv10=2376.0; inv15=3564.0; contrib same; rem_at_10_10=19008.0
