section,row_id,scenario,year,label,classification,amount_usd_m,amount_usd_b,pct_of_5y_base,responsible_entity,funding_instrument,repayment_treatment,restrictions,confidence,rationale,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,notes
capital_classification,OE-OP-01,,,Operator network establishment,operator_financed,600.0,0.6,1.6,Certified operators / SPVs,Operator equity/debt/concessions,Repay via operator CF / availability payments,No payout from restricted grants; no investor control of governance/oversight; personal data not an asset class,L-M,Operator equity/debt/project finance + limited core seed,,,,,,,,,
capital_classification,OR-OP-01,,,Operator network recurring ops,operator_financed,600.0,0.6,1.6,Certified operators,Service revenue / OpEx budgets,Not Civizen equity claim,No payout from restricted grants; no investor control of governance/oversight; personal data not an asset class,L-M,Operator OpEx / service contracts; not Civizen equity,,,,,,,,,
capital_classification,JP-IMP-01,,,Jurisdiction implementation,government_or_multilateral_funded,7000.0,7.0,18.66,Governments/regional,Public budgets/procurement/PPP,No Civizen equity repayment,No payout from restricted grants; no investor control of governance/oversight; personal data not an asset class,L-M,Procurement/budgets/PPP; not Civizen equity,,,,,,,,,
capital_classification,II-LEG-01,,,Institutional & legacy integrations,institutional_procurement,10000.0,10.0,26.66,Participating institutions,Institutional procurement/SOWs,Contract consideration only,No payout from restricted grants; no investor control of governance/oversight; personal data not an asset class,L-M,Institution budgets; may buy commercial services,,,,,,,,,
capital_classification,AL-LOC-01,,,Accessibility & localization,public_grant_funded,800.0,0.8,2.13,Core + J,Grants + J match,No investor repayment,No payout from restricted grants; no investor control of governance/oversight; personal data not an asset class,L-M,Core+J co-finance; inclusion mandate,,,,,,,,,
capital_classification,AE-ADS-01,,,"Adoption, education, support",government_or_multilateral_funded,2800.0,2.8,7.46,Governments/regional,Public budgets,No Civizen equity repayment,No payout from restricted grants; no investor control of governance/oversight; personal data not an asset class,L-M,Mostly J; training may buy commercial TA,,,,,,,,,
capital_classification,EG-CAP-01,,,Ecosystem grants & capacity,public_grant_funded,1500.0,1.5,4.0,Philanthropy (administered),Grants pass-through,No investor repayment,No payout from restricted grants; no investor control of governance/oversight; personal data not an asset class,L-M,90% pass-through; no repayment to investors,,,,,,,,,
capital_classification,RV-ALL-01,,,Protected reserves portfolio,protected_reserve,4000.0,4.0,10.66,Multi-party reserve trustees,Restricted reserve contributions,No repayment; stated-risk drawdown only,No payout from restricted grants; no investor control of governance/oversight; personal data not an asset class,L-M,Not OpEx; not distributable to investors,,,,,,,,,
capital_classification,CP-ID-01,,,Identity & credential interop,not_appropriate_for_return_seeking,350.0,0.35,0.93,Foundation/core public,Grants/public,No return-seeking; no identity access profit,No payout from restricted grants; no investor control of governance/oversight; personal data not an asset class,L-M,Public infrastructure; no profit from mandatory identity access,,,,,,,,,
capital_classification,CP-PAY-01,,,Economic infra standards & hooks,commercially_investable,500.0,0.5,1.33,Commercial services entity (adjacent),Commercial equity/debt/RR,Return-seeking in commercial entity only,No payout from restricted grants; no investor control of governance/oversight; personal data not an asset class,L-M,Hooks/standards public; commercial rails/services adjacent investable,,,,,,,,,
capital_classification,CP-AUD-01,,,Audit & dispute shared tooling,not_appropriate_for_return_seeking,350.0,0.35,0.93,Independent oversight,Ring-fenced,No return-seeking capital,No payout from restricted grants; no investor control of governance/oversight; personal data not an asset class,L-M,Oversight-linked; protected,,,,,,,,,
capital_classification,SD-HEA-01,,,Sector domain framework SD-HEA-01,government_or_multilateral_funded,280.0,0.28,0.75,Multilateral/research consortium,Consortia grants/DFI/blended,Public tranche typically no repayment,No payout from restricted grants; no investor control of governance/oversight; personal data not an asset class,L,Consortium/grant/research; blended first-loss possible; deployment in J/II,,,,,,,,,
capital_classification,SD-ECO-01,,,Sector domain framework SD-ECO-01,government_or_multilateral_funded,320.0,0.32,0.85,Multilateral/research consortium,Consortia grants/DFI/blended,Public tranche typically no repayment,No payout from restricted grants; no investor control of governance/oversight; personal data not an asset class,L,Consortium/grant/research; blended first-loss possible; deployment in J/II,,,,,,,,,
capital_classification,SD-FIN-01,,,Sector domain framework SD-FIN-01,government_or_multilateral_funded,350.0,0.35,0.93,Multilateral/research consortium,Consortia grants/DFI/blended,Public tranche typically no repayment,No payout from restricted grants; no investor control of governance/oversight; personal data not an asset class,L,Consortium/grant/research; blended first-loss possible; deployment in J/II,,,,,,,,,
capital_classification,SD-TAX-01,,,Sector domain framework SD-TAX-01,government_or_multilateral_funded,240.0,0.24,0.64,Multilateral/research consortium,Consortia grants/DFI/blended,Public tranche typically no repayment,No payout from restricted grants; no investor control of governance/oversight; personal data not an asset class,L,Consortium/grant/research; blended first-loss possible; deployment in J/II,,,,,,,,,
capital_classification,SD-EDU-01,,,Sector domain framework SD-EDU-01,government_or_multilateral_funded,250.0,0.25,0.67,Multilateral/research consortium,Consortia grants/DFI/blended,Public tranche typically no repayment,No payout from restricted grants; no investor control of governance/oversight; personal data not an asset class,L,Consortium/grant/research; blended first-loss possible; deployment in J/II,,,,,,,,,
capital_classification,SD-SCI-01,,,Sector domain framework SD-SCI-01,government_or_multilateral_funded,160.0,0.16,0.43,Multilateral/research consortium,Consortia grants/DFI/blended,Public tranche typically no repayment,No payout from restricted grants; no investor control of governance/oversight; personal data not an asset class,L,Consortium/grant/research; blended first-loss possible; deployment in J/II,,,,,,,,,
capital_classification,SD-HOU-01,,,Sector domain framework SD-HOU-01,government_or_multilateral_funded,200.0,0.2,0.53,Multilateral/research consortium,Consortia grants/DFI/blended,Public tranche typically no repayment,No payout from restricted grants; no investor control of governance/oversight; personal data not an asset class,L,Consortium/grant/research; blended first-loss possible; deployment in J/II,,,,,,,,,
capital_classification,SD-FOO-01,,,Sector domain framework SD-FOO-01,government_or_multilateral_funded,190.0,0.19,0.51,Multilateral/research consortium,Consortia grants/DFI/blended,Public tranche typically no repayment,No payout from restricted grants; no investor control of governance/oversight; personal data not an asset class,L,Consortium/grant/research; blended first-loss possible; deployment in J/II,,,,,,,,,
capital_classification,SD-ENE-01,,,Sector domain framework SD-ENE-01,government_or_multilateral_funded,210.0,0.21,0.56,Multilateral/research consortium,Consortia grants/DFI/blended,Public tranche typically no repayment,No payout from restricted grants; no investor control of governance/oversight; personal data not an asset class,L,Consortium/grant/research; blended first-loss possible; deployment in J/II,,,,,,,,,
capital_classification,SD-TRA-01,,,Sector domain framework SD-TRA-01,government_or_multilateral_funded,210.0,0.21,0.56,Multilateral/research consortium,Consortia grants/DFI/blended,Public tranche typically no repayment,No payout from restricted grants; no investor control of governance/oversight; personal data not an asset class,L,Consortium/grant/research; blended first-loss possible; deployment in J/II,,,,,,,,,
capital_classification,SD-COM-01,,,Sector domain framework SD-COM-01,government_or_multilateral_funded,150.0,0.15,0.4,Multilateral/research consortium,Consortia grants/DFI/blended,Public tranche typically no repayment,No payout from restricted grants; no investor control of governance/oversight; personal data not an asset class,L,Consortium/grant/research; blended first-loss possible; deployment in J/II,,,,,,,,,
capital_classification,SD-ENV-01,,,Sector domain framework SD-ENV-01,government_or_multilateral_funded,220.0,0.22,0.59,Multilateral/research consortium,Consortia grants/DFI/blended,Public tranche typically no repayment,No payout from restricted grants; no investor control of governance/oversight; personal data not an asset class,L,Consortium/grant/research; blended first-loss possible; deployment in J/II,,,,,,,,,
capital_classification,SD-SOC-01,,,Sector domain framework SD-SOC-01,government_or_multilateral_funded,220.0,0.22,0.59,Multilateral/research consortium,Consortia grants/DFI/blended,Public tranche typically no repayment,No payout from restricted grants; no investor control of governance/oversight; personal data not an asset class,L,Consortium/grant/research; blended first-loss possible; deployment in J/II,,,,,,,,,
capital_classification,SD-JUS-01,,,Sector domain framework SD-JUS-01,government_or_multilateral_funded,280.0,0.28,0.75,Multilateral/research consortium,Consortia grants/DFI/blended,Public tranche typically no repayment,No payout from restricted grants; no investor control of governance/oversight; personal data not an asset class,L,Consortium/grant/research; blended first-loss possible; deployment in J/II,,,,,,,,,
capital_classification,SD-RGT-01,,,Sector domain framework SD-RGT-01,government_or_multilateral_funded,160.0,0.16,0.43,Multilateral/research consortium,Consortia grants/DFI/blended,Public tranche typically no repayment,No payout from restricted grants; no investor control of governance/oversight; personal data not an asset class,L,Consortium/grant/research; blended first-loss possible; deployment in J/II,,,,,,,,,
capital_classification,SD-MIG-01,,,Sector domain framework SD-MIG-01,government_or_multilateral_funded,240.0,0.24,0.64,Multilateral/research consortium,Consortia grants/DFI/blended,Public tranche typically no repayment,No payout from restricted grants; no investor control of governance/oversight; personal data not an asset class,L,Consortium/grant/research; blended first-loss possible; deployment in J/II,,,,,,,,,
capital_classification,SD-EMR-01,,,Sector domain framework SD-EMR-01,government_or_multilateral_funded,200.0,0.2,0.53,Multilateral/research consortium,Consortia grants/DFI/blended,Public tranche typically no repayment,No payout from restricted grants; no investor control of governance/oversight; personal data not an asset class,L,Consortium/grant/research; blended first-loss possible; deployment in J/II,,,,,,,,,
capital_classification,SD-CUL-01,,,Sector domain framework SD-CUL-01,government_or_multilateral_funded,130.0,0.13,0.35,Multilateral/research consortium,Consortia grants/DFI/blended,Public tranche typically no repayment,No payout from restricted grants; no investor control of governance/oversight; personal data not an asset class,L,Consortium/grant/research; blended first-loss possible; deployment in J/II,,,,,,,,,
capital_classification,SD-IND-01,,,Sector domain framework SD-IND-01,government_or_multilateral_funded,180.0,0.18,0.48,Multilateral/research consortium,Consortia grants/DFI/blended,Public tranche typically no repayment,No payout from restricted grants; no investor control of governance/oversight; personal data not an asset class,L,Consortium/grant/research; blended first-loss possible; deployment in J/II,,,,,,,,,
capital_classification,SD-CON-01,,,Sector domain framework SD-CON-01,government_or_multilateral_funded,110.0,0.11,0.29,Multilateral/research consortium,Consortia grants/DFI/blended,Public tranche typically no repayment,No payout from restricted grants; no investor control of governance/oversight; personal data not an asset class,L,Consortium/grant/research; blended first-loss possible; deployment in J/II,,,,,,,,,
capital_classification,SD-DEF-01,,,Sector domain framework SD-DEF-01,government_or_multilateral_funded,170.0,0.17,0.45,Multilateral/research consortium,Consortia grants/DFI/blended,Public tranche typically no repayment,No payout from restricted grants; no investor control of governance/oversight; personal data not an asset class,L,Consortium/grant/research; blended first-loss possible; deployment in J/II,,,,,,,,,
capital_classification,SD-INT-01,,,Sector domain framework SD-INT-01,government_or_multilateral_funded,200.0,0.2,0.53,Multilateral/research consortium,Consortia grants/DFI/blended,Public tranche typically no repayment,No payout from restricted grants; no investor control of governance/oversight; personal data not an asset class,L,Consortium/grant/research; blended first-loss possible; deployment in J/II,,,,,,,,,
capital_classification,SD-ELE-01,,,Sector domain framework SD-ELE-01,government_or_multilateral_funded,260.0,0.26,0.69,Multilateral/research consortium,Consortia grants/DFI/blended,Public tranche typically no repayment,No payout from restricted grants; no investor control of governance/oversight; personal data not an asset class,L,Consortium/grant/research; blended first-loss possible; deployment in J/II,,,,,,,,,
capital_classification,SD-CSO-01,,,Sector domain framework SD-CSO-01,government_or_multilateral_funded,100.0,0.1,0.27,Multilateral/research consortium,Consortia grants/DFI/blended,Public tranche typically no repayment,No payout from restricted grants; no investor control of governance/oversight; personal data not an asset class,L,Consortium/grant/research; blended first-loss possible; deployment in J/II,,,,,,,,,
capital_classification,SD-MEA-01,,,Sector domain framework SD-MEA-01,government_or_multilateral_funded,150.0,0.15,0.4,Multilateral/research consortium,Consortia grants/DFI/blended,Public tranche typically no repayment,No payout from restricted grants; no investor control of governance/oversight; personal data not an asset class,L,Consortium/grant/research; blended first-loss possible; deployment in J/II,,,,,,,,,
capital_classification,SD-ADD-01,,,Sector domain framework SD-ADD-01,government_or_multilateral_funded,130.0,0.13,0.35,Multilateral/research consortium,Consortia grants/DFI/blended,Public tranche typically no repayment,No payout from restricted grants; no investor control of governance/oversight; personal data not an asset class,L,Consortium/grant/research; blended first-loss possible; deployment in J/II,,,,,,,,,
capital_classification_rollup,ROLL-government_or_multilateral_funded,,,government_or_multilateral_funded,government_or_multilateral_funded,,15.11,40.28,,,,,,,,,,,,,,,
capital_classification_rollup,ROLL-institutional_procurement,,,institutional_procurement,institutional_procurement,,10.0,26.66,,,,,,,,,,,,,,,
capital_classification_rollup,ROLL-protected_reserve,,,protected_reserve,protected_reserve,,4.0,10.66,,,,,,,,,,,,,,,
capital_classification_rollup,ROLL-public_grant_funded,,,public_grant_funded,public_grant_funded,,2.75,7.33,,,,,,,,,,,,,,,
capital_classification_rollup,ROLL-potentially_blended_finance,,,potentially_blended_finance,potentially_blended_finance,,2.3,6.13,,,,,,,,,,,,,,,
capital_classification_rollup,ROLL-not_appropriate_for_return_seeking,,,not_appropriate_for_return_seeking,not_appropriate_for_return_seeking,,1.65,4.4,,,,,,,,,,,,,,,
capital_classification_rollup,ROLL-operator_financed,,,operator_financed,operator_financed,,1.2,3.2,,,,,,,,,,,,,,,
capital_classification_rollup,ROLL-commercially_investable,,,commercially_investable,commercially_investable,,0.5,1.33,,,,,,,,,,,,,,,
investable_summary,INV-low-commercial_entity_equity_debt,low,,commercial_entity_equity_debt,private_return_seeking_addressable,,0.4,1.07,,,,,L,,,,,,,,,,Scenario total 0.90B (2.4% of 37.5B)
investable_summary,INV-low-operator_project_finance,low,,operator_project_finance,private_return_seeking_addressable,,0.3,0.8,,,,,L,,,,,,,,,,Scenario total 0.90B (2.4% of 37.5B)
investable_summary,INV-low-blended_first_loss_mezzanine,low,,blended_first_loss_mezzanine,private_return_seeking_addressable,,0.1,0.27,,,,,L,,,,,,,,,,Scenario total 0.90B (2.4% of 37.5B)
investable_summary,INV-low-capped_revenue_participation,low,,capped_revenue_participation,private_return_seeking_addressable,,0.1,0.27,,,,,L,,,,,,,,,,Scenario total 0.90B (2.4% of 37.5B)
investable_summary,INV-low-TOTAL,low,,total_private_return_seeking_addressable_5y,,,0.9,2.4,,,,,L,,,,,,,,,,
investable_summary,INV-base-commercial_entity_equity_debt,base,,commercial_entity_equity_debt,private_return_seeking_addressable,,1.2,3.2,,,,,L,,,,,,,,,,Scenario total 2.80B (7.5% of 37.5B)
investable_summary,INV-base-operator_project_finance,base,,operator_project_finance,private_return_seeking_addressable,,0.9,2.4,,,,,L,,,,,,,,,,Scenario total 2.80B (7.5% of 37.5B)
investable_summary,INV-base-blended_first_loss_mezzanine,base,,blended_first_loss_mezzanine,private_return_seeking_addressable,,0.4,1.07,,,,,L,,,,,,,,,,Scenario total 2.80B (7.5% of 37.5B)
investable_summary,INV-base-capped_revenue_participation,base,,capped_revenue_participation,private_return_seeking_addressable,,0.3,0.8,,,,,L,,,,,,,,,,Scenario total 2.80B (7.5% of 37.5B)
investable_summary,INV-base-TOTAL,base,,total_private_return_seeking_addressable_5y,,,2.8,7.46,,,,,L,,,,,,,,,,
investable_summary,INV-high-commercial_entity_equity_debt,high,,commercial_entity_equity_debt,private_return_seeking_addressable,,2.5,6.66,,,,,L,,,,,,,,,,Scenario total 6.30B (16.8% of 37.5B)
investable_summary,INV-high-operator_project_finance,high,,operator_project_finance,private_return_seeking_addressable,,2.0,5.33,,,,,L,,,,,,,,,,Scenario total 6.30B (16.8% of 37.5B)
investable_summary,INV-high-blended_first_loss_mezzanine,high,,blended_first_loss_mezzanine,private_return_seeking_addressable,,1.0,2.67,,,,,L,,,,,,,,,,Scenario total 6.30B (16.8% of 37.5B)
investable_summary,INV-high-capped_revenue_participation,high,,capped_revenue_participation,private_return_seeking_addressable,,0.8,2.13,,,,,L,,,,,,,,,,Scenario total 6.30B (16.8% of 37.5B)
investable_summary,INV-high-TOTAL,high,,total_private_return_seeking_addressable_5y,,,6.3,16.8,,,,,L,,,,,,,,,,
investable_summary,INV-HEADLINE,,,headline_private_capital_range_5y_usd_b,,,,,,,,,,,0.9,2.8,6.3,,,,,,low/base/high $B; ~2–17% of 5y ecosystem base
revenue_streams,REV-API,,3,Enterprise API subscriptions,permitted,,,,commercial,,,,L,,Enterprises/institutions,Programmatic access to approved commercial APIs,per seat/month or call tier,$2k–$50k/mo enterprise,0.7,,,,Not citizen-facing essential access
revenue_streams,REV-INT,,3,Institutional integration contracts,permitted,,,,commercial,,,,L,,Banks/hospitals/agencies/universities,Adapter build + support,SOW / fixed+T&M,$0.5M–$15M per integration,0.35,,,,May sit beside J procurement
revenue_streams,REV-IMP,,4,Implementation & migration services,permitted,,,,commercial,,,,L,,Jurisdictions/institutions via commercial vehicle,Delivery services,project,$1M–$40M,0.25,,,,Distinct from public-interest core grants
revenue_streams,REV-INF,,4,Managed infrastructure & hosting,permitted,,,,operator,,,,L,,Operators/institutions,SLA hosting,per node/month,$5k–$200k/mo,0.4,,,,Operator vehicle primary
revenue_streams,REV-OPS,,3,Operator certification & support,permitted,,,,commercial,,,,L,,Certified operators,Certification exams + ongoing support,annual cert + retainer,$50k–$500k/yr,0.55,,,,Mission-compatible
revenue_streams,REV-WFL,,5,Enterprise workflow tools (optional),permitted,,,,commercial,,,,L,,Legal entities,Optional premium workflows,subscription,$500–$5k/seat/yr,0.65,,,,Must not gate essential civic services
revenue_streams,REV-MKT,,6,Commercial marketplace services (B2B),flagged,,,,commercial,,,,L,,Businesses,Optional listing/fulfillment aids,% of B2B GMV or sub,cost+ / listed fee,0.45,,,,No personal-capacity fees; no pay-to-govern
revenue_streams,REV-TRN,,2,"Training, TA, support",permitted,,,,commercial,,,,L,,Institutions/operators/J,Courses + TA,per cohort / day rate,$1k–$5k/day,0.5,,,,Also grant-funded path
revenue_streams,REV-LIC,,5,Licensing / service arrangements,permitted,,,,commercial,,,,L,,Vendors/operators,Certified component licensing,annual license,$10k–$1M,0.8,,,,Must preserve open/public-interest core
revenue_streams,REV-AVL,,5,Availability payments / service contracts,permitted,,,,operator_or_jurisdiction,,,,L,,Governments,Availability of operated services,availability payment,contract-specific,0.2,,,,Public procurement; not equity claim on foundation
revenue_streams,REV-SUB,,4,Jurisdiction/institutional subscriptions,permitted,,,,commercial_or_jurisdiction,,,,L,,J / institutions,Support tiers where lawful,annual,$0.1M–$5M,0.55,,,,Lawful only; no mandatory identity profit
revenue_streams,REV-FEE,,4,Legal-entity transaction cost-recovery,cost_recovery_not_profit,,,,core_or_commercial_ops,,,,L,,Legal entities,Documented processing/audit costs,cost basis,cost-recovery only,0.0,,,,Personal users $0; NOT investor profit
revenue_streams,REV-DAT,,,Sale of personal data,prohibited,,,,—,,,,L,,—,—,—,—,,,,,Hard prohibit
revenue_streams,REV-GOV,,,Sale of governmental authority / pay-to-govern,prohibited,,,,—,,,,L,,—,—,—,—,,,,,Hard prohibit
revenue_streams,REV-IDP,,,Profit from mandatory identity access,prohibited,,,,—,,,,L,,—,—,—,—,,,,,Hard prohibit
revenue_streams,REV-CTX,,,Citizen personal transaction-processing profit,prohibited,,,,—,,,,L,,—,—,—,—,,,,,Hard prohibit; cost-recovery for entities only
revenue_streams,REV-ADS,,,Undisclosed surveillance or advertising,prohibited,,,,—,,,,L,,—,—,—,—,,,,,Hard prohibit
revenue_streams,REV-TAX,,,Diversion of taxes / restricted public funds to investors,prohibited,,,,—,,,,L,,—,—,—,—,,,,,Hard prohibit
annual_commercial_cf,CF-conservative-Y1,conservative,1,commercial_entity_annual,,0.8,,,,,,,L,,0,0,0,1,0.3,55,0.0,-60.7,sec=6; tax=0.0; reserve=0.1; reinvest=0.1; debt=0.0; cap_drawn=60; cum_cap=60
annual_commercial_cf,CF-conservative-Y2,conservative,2,commercial_entity_annual,,6.0,,,,,,,L,,1,2,2,5,2.4,90,0.0,-93.4,sec=6; tax=0.0; reserve=0.4; reinvest=0.6; debt=0.0; cap_drawn=80; cum_cap=140
annual_commercial_cf,CF-conservative-Y3,conservative,3,commercial_entity_annual,,24.0,,,,,,,L,,2,5,5,15,9.6,100,0.0,-113.6,sec=12; tax=0.0; reserve=1.7; reinvest=2.4; debt=11.9; cap_drawn=100; cum_cap=240
annual_commercial_cf,CF-conservative-Y4,conservative,4,commercial_entity_annual,,60.0,,,,,,,L,,4,10,10,40,19.2,100,0.0,-93.3,sec=12; tax=0.0; reserve=4.2; reinvest=6.0; debt=11.9; cap_drawn=100; cum_cap=340
annual_commercial_cf,CF-conservative-Y5,conservative,5,commercial_entity_annual,,140.0,,,,,,,L,,6,18,20,80,44.8,67.2,0.0,-23.2,sec=12; tax=3.5; reserve=9.8; reinvest=14.0; debt=11.9; cap_drawn=60; cum_cap=400
annual_commercial_cf,CF-conservative-Y6,conservative,6,commercial_entity_annual,,220.0,,,,,,,L,,8,25,30,120,70.4,105.6,0.0,-24.3,sec=12; tax=7.0; reserve=15.4; reinvest=22.0; debt=11.9; cap_drawn=0; cum_cap=400
annual_commercial_cf,CF-conservative-Y7,conservative,7,commercial_entity_annual,,320.0,,,,,,,L,,10,35,40,170,102.4,115.2,1.1,1.1,sec=16.0; tax=19.0; reserve=22.4; reinvest=32.0; debt=11.9; cap_drawn=0; cum_cap=400
annual_commercial_cf,CF-conservative-Y8,conservative,8,commercial_entity_annual,,440.0,,,,,,,L,,12,45,55,230,114.4,158.4,39.8,39.8,sec=22.0; tax=31.9; reserve=30.8; reinvest=30.8; debt=11.9; cap_drawn=0; cum_cap=400
annual_commercial_cf,CF-conservative-Y9,conservative,9,commercial_entity_annual,,580.0,,,,,,,L,,15,55,70,300,150.8,208.8,76.5,76.5,sec=29.0; tax=42.1; reserve=20.3; reinvest=40.6; debt=11.9; cap_drawn=0; cum_cap=400
annual_commercial_cf,CF-conservative-Y10,conservative,10,commercial_entity_annual,,740.0,,,,,,,L,,18,70,90,380,192.4,222.0,135.5,135.5,sec=37.0; tax=63.5; reserve=25.9; reinvest=51.8; debt=11.9; cap_drawn=0; cum_cap=400
annual_commercial_cf,CF-conservative-Y11,conservative,11,commercial_entity_annual,,880.0,,,,,,,L,,20,85,110,460,228.8,264.0,163.4,163.4,sec=44.0; tax=75.5; reserve=30.8; reinvest=61.6; debt=11.9; cap_drawn=0; cum_cap=400
annual_commercial_cf,CF-conservative-Y12,conservative,12,commercial_entity_annual,,1040.0,,,,,,,L,,22,100,130,550,270.4,312.0,195.3,195.3,sec=52.0; tax=89.2; reserve=36.4; reinvest=72.8; debt=11.9; cap_drawn=0; cum_cap=400
annual_commercial_cf,CF-conservative-Y13,conservative,13,commercial_entity_annual,,1200.0,,,,,,,L,,25,115,150,650,312.0,360.0,239.0,239.0,sec=60.0; tax=103.0; reserve=42.0; reinvest=84.0; debt=0.0; cap_drawn=0; cum_cap=400
annual_commercial_cf,CF-conservative-Y14,conservative,14,commercial_entity_annual,,1360.0,,,,,,,L,,28,130,170,750,353.6,408.0,270.9,270.9,sec=68.0; tax=116.7; reserve=47.6; reinvest=95.2; debt=0.0; cap_drawn=0; cum_cap=400
annual_commercial_cf,CF-conservative-Y15,conservative,15,commercial_entity_annual,,1520.0,,,,,,,L,,30,150,190,850,395.2,456.0,302.8,302.8,sec=76.0; tax=130.4; reserve=53.2; reinvest=106.4; debt=0.0; cap_drawn=0; cum_cap=400
annual_commercial_cf,CF-base-Y1,base,1,commercial_entity_annual,,2,,,,,,,L-M,,0,1,1,2,0.8,56,0.0,-61.1,sec=6; tax=0.0; reserve=0.1; reinvest=0.2; debt=0.0; cap_drawn=180; cum_cap=180
annual_commercial_cf,CF-base-Y2,base,2,commercial_entity_annual,,15,,,,,,,L-M,,2,5,5,10,6.0,102.5,0.0,-102.1,sec=6; tax=0.0; reserve=1.1; reinvest=1.5; debt=0.0; cap_drawn=240; cum_cap=420
annual_commercial_cf,CF-base-Y3,base,3,commercial_entity_annual,,60,,,,,,,L-M,,4,15,15,30,24.0,100,0.0,-122.0,sec=12; tax=0.0; reserve=4.2; reinvest=6.0; debt=35.8; cap_drawn=300; cum_cap=720
annual_commercial_cf,CF-base-Y4,base,4,commercial_entity_annual,,150,,,,,,,L-M,,8,35,40,80,48.0,105.0,0.0,-76.3,sec=12; tax=0.0; reserve=10.5; reinvest=15.0; debt=35.8; cap_drawn=300; cum_cap=1020
annual_commercial_cf,CF-base-Y5,base,5,commercial_entity_annual,,350,,,,,,,L-M,,15,70,100,180,112.0,168.0,0.0,-54.4,sec=17.5; tax=11.6; reserve=24.5; reinvest=35.0; debt=35.8; cap_drawn=180; cum_cap=1200
annual_commercial_cf,CF-base-Y6,base,6,commercial_entity_annual,,550,,,,,,,L-M,,25,110,150,280,176.0,264.0,0.0,-64.9,sec=27.5; tax=18.1; reserve=38.5; reinvest=55.0; debt=35.8; cap_drawn=0; cum_cap=1200
annual_commercial_cf,CF-base-Y7,base,7,commercial_entity_annual,,800,,,,,,,L-M,,35,160,220,420,256.0,288.0,0.0,-3.3,sec=40.0; tax=47.5; reserve=56.0; reinvest=80.0; debt=35.8; cap_drawn=0; cum_cap=1200
annual_commercial_cf,CF-base-Y8,base,8,commercial_entity_annual,,1100,,,,,,,L-M,,45,220,300,600,286.0,396.0,93.3,93.3,sec=55.0; tax=79.9; reserve=77.0; reinvest=77.0; debt=35.8; cap_drawn=0; cum_cap=1200
