cost_center_id,description,cost_center,responsible_organization_type,quantity,unit,unit_cost_low_usd_m,unit_cost_base_usd_m,unit_cost_high_usd_m,y1_qty_share,y2_qty_share,y3_qty_share,y4_qty_share,y5_qty_share,escalation_annual,currency,conversion_date,one_time_share,recurring_share,contingency_class,is_reserve,evidence_source,confidence,dependency,subtotal_formula,subtotal_low_usd_m,subtotal_base_usd_m,subtotal_high_usd_m,y1_base_usd_m,y2_base_usd_m,y3_base_usd_m,y4_base_usd_m,y5_base_usd_m,category,core_controlled_share,pass_through_share,notes
AL-LOC-01,"Accessibility, localization, assisted access (shared)",accessibility-localization.program,civizen_global_core,1,5y_program,500,800,1400,0.08,0.14,0.2,0.26,0.32,0.03,USD,2026-08-10,0.25,0.75,personnel_15,FALSE,10_layer11_partial,M,GC-CP-01,quantity * unit_cost_{scenario}_usd_m,500,800,1400,64.0,112.0,160.0,208.0,256.0,horizontal,0.45,0,rest J co-finance
AE-ADS-01,"Adoption, education, support coordination",adoption-education-support.program,government_or_regional,1,5y_program,1500,2800,4500,0.08,0.14,0.2,0.26,0.32,0.03,USD,2026-08-10,0.2,0.8,personnel_20,FALSE,10_layer12_13_partial,M,JP-IMP-01,quantity * unit_cost_{scenario}_usd_m,1500,2800,4500,224.0,392.0,560.0,728.0,896.0,horizontal,0.15,0,mostly J
EG-CAP-01,Ecosystem grants & local capacity (administered),ecosystem-grants.capacity,philanthropy_or_grant,1,5y_program,800,1500,2500,0.08,0.14,0.2,0.26,0.32,0.03,USD,2026-08-10,0.1,0.9,grant_20,FALSE,10_layer15,L,JP-IMP-01,quantity * unit_cost_{scenario}_usd_m,800,1500,2500,120.0,210.0,300.0,390.0,480.0,grant,0.1,0.9,90pct pass-through
RV-ALL-01,Protected reserves portfolio,reserves.portfolio,multi_party_pooled,1,5y_program,2500,4000,6500,0.08,0.14,0.2,0.26,0.32,0.03,USD,2026-08-10,0.0,1.0,n/a,TRUE,10_layer16,M,all,quantity * unit_cost_{scenario}_usd_m,2500,4000,6500,320.0,560.0,800.0,1040.0,1280.0,reserve,0.35,0,not ordinary expenditure
CP-ID-01,Identity & credential interoperability program,core-platform.identity-interop,civizen_global_core,1,5y_program,200,350,600,0.08,0.14,0.2,0.26,0.32,0.03,USD,2026-08-10,0.35,0.65,personnel_15,FALSE,10_layer8,M,GC-CP-01,quantity * unit_cost_{scenario}_usd_m,200,350,600,28.0,49.0,70.0,91.0,112.0,horizontal,0.6,0,
CP-PAY-01,Economic infra standards & hooks (not full rails),core-platform.economic-hooks,civizen_global_core,1,5y_program,300,500,900,0.08,0.14,0.2,0.26,0.32,0.03,USD,2026-08-10,0.3,0.7,integration_30,FALSE,10_layer9_partial,L,GC-CP-01,quantity * unit_cost_{scenario}_usd_m,300,500,900,40.0,70.0,100.0,130.0,160.0,horizontal,0.4,0,
CP-AUD-01,Audit & dispute-resolution shared tooling,core-platform.audit-dispute,independent_oversight,1,5y_program,200,350,600,0.08,0.14,0.2,0.26,0.32,0.03,USD,2026-08-10,0.25,0.75,personnel_15,FALSE,10_layer10,L,GOV-OV-01,quantity * unit_cost_{scenario}_usd_m,200,350,600,28.0,49.0,70.0,91.0,112.0,horizontal,0.2,0,
SD-HEA-01,Health & public health — shared domain framework (incremental),sector-domain.hea,multilateral_or_research_consortium,1,5y_program,180,280,450,0.08,0.14,0.2,0.26,0.32,0.03,USD,2026-08-10,0.4,0.6,domain_25,FALSE,sector_framework_v01,L,GC-CP-01,quantity * unit_cost_{scenario}_usd_m,180,280,450,22.4,39.2,56.0,72.8,89.6,domain,0.35,0,Framework ONLY; clinical/economic deployment in JP/II — no double count of shared identity/payments
SD-ECO-01,"Economy, commerce, employment & labor — shared domain framework (incremental)",sector-domain.eco,multilateral_or_research_consortium,1,5y_program,200,320,500,0.08,0.14,0.2,0.26,0.32,0.03,USD,2026-08-10,0.4,0.6,domain_25,FALSE,sector_framework_v01,L,GC-CP-01,quantity * unit_cost_{scenario}_usd_m,200,320,500,25.6,44.8,64.0,83.2,102.4,domain,0.35,0,Framework ONLY; clinical/economic deployment in JP/II — no double count of shared identity/payments
SD-FIN-01,"Finance, banking, payments & monetary systems — shared domain framework (incremental)",sector-domain.fin,multilateral_or_research_consortium,1,5y_program,220,350,550,0.08,0.14,0.2,0.26,0.32,0.03,USD,2026-08-10,0.4,0.6,domain_25,FALSE,sector_framework_v01,L,GC-CP-01,quantity * unit_cost_{scenario}_usd_m,220,350,550,28.0,49.0,70.0,91.0,112.0,domain,0.35,0,Framework ONLY; clinical/economic deployment in JP/II — no double count of shared identity/payments
SD-TAX-01,"Taxation, public budgets & fiscal administration — shared domain framework (incremental)",sector-domain.tax,multilateral_or_research_consortium,1,5y_program,150,240,400,0.08,0.14,0.2,0.26,0.32,0.03,USD,2026-08-10,0.4,0.6,domain_25,FALSE,sector_framework_v01,L,GC-CP-01,quantity * unit_cost_{scenario}_usd_m,150,240,400,19.2,33.6,48.0,62.4,76.8,domain,0.35,0,Framework ONLY; clinical/economic deployment in JP/II — no double count of shared identity/payments
SD-EDU-01,"Education, training, qualifications & research — shared domain framework (incremental)",sector-domain.edu,multilateral_or_research_consortium,1,5y_program,160,250,400,0.08,0.14,0.2,0.26,0.32,0.03,USD,2026-08-10,0.4,0.6,domain_25,FALSE,sector_framework_v01,L,GC-CP-01,quantity * unit_cost_{scenario}_usd_m,160,250,400,20.0,35.0,50.0,65.0,80.0,domain,0.35,0,Framework ONLY; clinical/economic deployment in JP/II — no double count of shared identity/payments
SD-SCI-01,"Science, innovation & knowledge infrastructure — shared domain framework (incremental)",sector-domain.sci,multilateral_or_research_consortium,1,5y_program,100,160,280,0.08,0.14,0.2,0.26,0.32,0.03,USD,2026-08-10,0.4,0.6,domain_25,FALSE,sector_framework_v01,L,GC-CP-01,quantity * unit_cost_{scenario}_usd_m,100,160,280,12.8,22.4,32.0,41.6,51.2,domain,0.35,0,Framework ONLY; clinical/economic deployment in JP/II — no double count of shared identity/payments
SD-HOU-01,"Housing, land, property & urban development — shared domain framework (incremental)",sector-domain.hou,multilateral_or_research_consortium,1,5y_program,120,200,350,0.08,0.14,0.2,0.26,0.32,0.03,USD,2026-08-10,0.4,0.6,domain_25,FALSE,sector_framework_v01,L,GC-CP-01,quantity * unit_cost_{scenario}_usd_m,120,200,350,16.0,28.0,40.0,52.0,64.0,domain,0.35,0,Framework ONLY; clinical/economic deployment in JP/II — no double count of shared identity/payments
SD-FOO-01,"Food, agriculture, water & supply systems — shared domain framework (incremental)",sector-domain.foo,multilateral_or_research_consortium,1,5y_program,120,190,320,0.08,0.14,0.2,0.26,0.32,0.03,USD,2026-08-10,0.4,0.6,domain_25,FALSE,sector_framework_v01,L,GC-CP-01,quantity * unit_cost_{scenario}_usd_m,120,190,320,15.2,26.6,38.0,49.4,60.8,domain,0.35,0,Framework ONLY; clinical/economic deployment in JP/II — no double count of shared identity/payments
SD-ENE-01,Energy & natural resources — shared domain framework (incremental),sector-domain.ene,multilateral_or_research_consortium,1,5y_program,130,210,360,0.08,0.14,0.2,0.26,0.32,0.03,USD,2026-08-10,0.4,0.6,domain_25,FALSE,sector_framework_v01,L,GC-CP-01,quantity * unit_cost_{scenario}_usd_m,130,210,360,16.8,29.4,42.0,54.6,67.2,domain,0.35,0,Framework ONLY; clinical/economic deployment in JP/II — no double count of shared identity/payments
SD-TRA-01,"Transportation, mobility & logistics — shared domain framework (incremental)",sector-domain.tra,multilateral_or_research_consortium,1,5y_program,130,210,350,0.08,0.14,0.2,0.26,0.32,0.03,USD,2026-08-10,0.4,0.6,domain_25,FALSE,sector_framework_v01,L,GC-CP-01,quantity * unit_cost_{scenario}_usd_m,130,210,350,16.8,29.4,42.0,54.6,67.2,domain,0.35,0,Framework ONLY; clinical/economic deployment in JP/II — no double count of shared identity/payments
SD-COM-01,Communications & digital infrastructure — shared domain framework (incremental),sector-domain.com,multilateral_or_research_consortium,1,5y_program,90,150,260,0.08,0.14,0.2,0.26,0.32,0.03,USD,2026-08-10,0.4,0.6,domain_25,FALSE,sector_framework_v01,L,GC-CP-01,quantity * unit_cost_{scenario}_usd_m,90,150,260,12.0,21.0,30.0,39.0,48.0,domain,0.35,0,Framework ONLY; clinical/economic deployment in JP/II — no double count of shared identity/payments
SD-ENV-01,"Environment, climate, biodiversity & waste — shared domain framework (incremental)",sector-domain.env,multilateral_or_research_consortium,1,5y_program,140,220,380,0.08,0.14,0.2,0.26,0.32,0.03,USD,2026-08-10,0.4,0.6,domain_25,FALSE,sector_framework_v01,L,GC-CP-01,quantity * unit_cost_{scenario}_usd_m,140,220,380,17.6,30.8,44.0,57.2,70.4,domain,0.35,0,Framework ONLY; clinical/economic deployment in JP/II — no double count of shared identity/payments
SD-SOC-01,"Social protection, disability, aging & family services — shared domain framework (incremental)",sector-domain.soc,multilateral_or_research_consortium,1,5y_program,140,220,370,0.08,0.14,0.2,0.26,0.32,0.03,USD,2026-08-10,0.4,0.6,domain_25,FALSE,sector_framework_v01,L,GC-CP-01,quantity * unit_cost_{scenario}_usd_m,140,220,370,17.6,30.8,44.0,57.2,70.4,domain,0.35,0,Framework ONLY; clinical/economic deployment in JP/II — no double count of shared identity/payments
SD-JUS-01,"Justice, public safety, corrections & rehabilitation — shared domain framework (incremental)",sector-domain.jus,multilateral_or_research_consortium,1,5y_program,180,280,480,0.08,0.14,0.2,0.26,0.32,0.03,USD,2026-08-10,0.4,0.6,domain_25,FALSE,sector_framework_v01,L,GC-CP-01,quantity * unit_cost_{scenario}_usd_m,180,280,480,22.4,39.2,56.0,72.8,89.6,domain,0.35,0,Framework ONLY; clinical/economic deployment in JP/II — no double count of shared identity/payments
SD-RGT-01,"Civil/human rights, equality & protection from abuse — shared domain framework (incremental)",sector-domain.rgt,multilateral_or_research_consortium,1,5y_program,100,160,280,0.08,0.14,0.2,0.26,0.32,0.03,USD,2026-08-10,0.4,0.6,domain_25,FALSE,sector_framework_v01,L,GC-CP-01,quantity * unit_cost_{scenario}_usd_m,100,160,280,12.8,22.4,32.0,41.6,51.2,domain,0.35,0,Framework ONLY; clinical/economic deployment in JP/II — no double count of shared identity/payments
SD-MIG-01,"Migration, residency, citizenship, refugees & statelessness — shared domain framework (incremental)",sector-domain.mig,multilateral_or_research_consortium,1,5y_program,150,240,400,0.08,0.14,0.2,0.26,0.32,0.03,USD,2026-08-10,0.4,0.6,domain_25,FALSE,sector_framework_v01,L,GC-CP-01,quantity * unit_cost_{scenario}_usd_m,150,240,400,19.2,33.6,48.0,62.4,76.8,domain,0.35,0,Framework ONLY; clinical/economic deployment in JP/II — no double count of shared identity/payments
SD-EMR-01,"Emergency management, disaster & humanitarian assistance — shared domain framework (incremental)",sector-domain.emr,multilateral_or_research_consortium,1,5y_program,120,200,350,0.08,0.14,0.2,0.26,0.32,0.03,USD,2026-08-10,0.4,0.6,domain_25,FALSE,sector_framework_v01,L,GC-CP-01,quantity * unit_cost_{scenario}_usd_m,120,200,350,16.0,28.0,40.0,52.0,64.0,domain,0.35,0,Framework ONLY; clinical/economic deployment in JP/II — no double count of shared identity/payments
SD-CUL-01,"Culture, media, language, heritage & public information — shared domain framework (incremental)",sector-domain.cul,multilateral_or_research_consortium,1,5y_program,80,130,220,0.08,0.14,0.2,0.26,0.32,0.03,USD,2026-08-10,0.4,0.6,domain_25,FALSE,sector_framework_v01,L,GC-CP-01,quantity * unit_cost_{scenario}_usd_m,80,130,220,10.4,18.2,26.0,33.8,41.6,domain,0.35,0,Framework ONLY; clinical/economic deployment in JP/II — no double count of shared identity/payments
SD-IND-01,"Industry, business formation, licensing & regulation — shared domain framework (incremental)",sector-domain.ind,multilateral_or_research_consortium,1,5y_program,110,180,300,0.08,0.14,0.2,0.26,0.32,0.03,USD,2026-08-10,0.4,0.6,domain_25,FALSE,sector_framework_v01,L,GC-CP-01,quantity * unit_cost_{scenario}_usd_m,110,180,300,14.4,25.2,36.0,46.8,57.6,domain,0.35,0,Framework ONLY; clinical/economic deployment in JP/II — no double count of shared identity/payments
SD-CON-01,Consumer protection & product safety — shared domain framework (incremental),sector-domain.con,multilateral_or_research_consortium,1,5y_program,70,110,200,0.08,0.14,0.2,0.26,0.32,0.03,USD,2026-08-10,0.4,0.6,domain_25,FALSE,sector_framework_v01,L,GC-CP-01,quantity * unit_cost_{scenario}_usd_m,70,110,200,8.8,15.4,22.0,28.6,35.2,domain,0.35,0,Framework ONLY; clinical/economic deployment in JP/II — no double count of shared identity/payments
SD-DEF-01,"Defense, peace, international security & conflict resolution — shared domain framework (incremental)",sector-domain.def,multilateral_or_research_consortium,1,5y_program,100,170,300,0.08,0.14,0.2,0.26,0.32,0.03,USD,2026-08-10,0.4,0.6,domain_25,FALSE,sector_framework_v01,L,GC-CP-01,quantity * unit_cost_{scenario}_usd_m,100,170,300,13.6,23.8,34.0,44.2,54.4,domain,0.35,0,Framework ONLY; clinical/economic deployment in JP/II — no double count of shared identity/payments
SD-INT-01,"International relations, treaties & cross-border coordination — shared domain framework (incremental)",sector-domain.int,multilateral_or_research_consortium,1,5y_program,120,200,350,0.08,0.14,0.2,0.26,0.32,0.03,USD,2026-08-10,0.4,0.6,domain_25,FALSE,sector_framework_v01,L,GC-CP-01,quantity * unit_cost_{scenario}_usd_m,120,200,350,16.0,28.0,40.0,52.0,64.0,domain,0.35,0,Framework ONLY; clinical/economic deployment in JP/II — no double count of shared identity/payments
SD-ELE-01,"Elections, representation, legislation & public administration — shared domain framework (incremental)",sector-domain.ele,multilateral_or_research_consortium,1,5y_program,160,260,420,0.08,0.14,0.2,0.26,0.32,0.03,USD,2026-08-10,0.4,0.6,domain_25,FALSE,sector_framework_v01,L,GC-CP-01,quantity * unit_cost_{scenario}_usd_m,160,260,420,20.8,36.4,52.0,67.6,83.2,domain,0.35,0,Framework ONLY; clinical/economic deployment in JP/II — no double count of shared identity/payments
SD-CSO-01,"Community organization, civil society & voluntary activity — shared domain framework (incremental)",sector-domain.cso,multilateral_or_research_consortium,1,5y_program,60,100,180,0.08,0.14,0.2,0.26,0.32,0.03,USD,2026-08-10,0.4,0.6,domain_25,FALSE,sector_framework_v01,L,GC-CP-01,quantity * unit_cost_{scenario}_usd_m,60,100,180,8.0,14.0,20.0,26.0,32.0,domain,0.35,0,Framework ONLY; clinical/economic deployment in JP/II — no double count of shared identity/payments
SD-MEA-01,"Measurement, statistics, forecasting & public evidence — shared domain framework (incremental)",sector-domain.mea,multilateral_or_research_consortium,1,5y_program,90,150,260,0.08,0.14,0.2,0.26,0.32,0.03,USD,2026-08-10,0.4,0.6,domain_25,FALSE,sector_framework_v01,L,GC-CP-01,quantity * unit_cost_{scenario}_usd_m,90,150,260,12.0,21.0,30.0,39.0,48.0,domain,0.35,0,Framework ONLY; clinical/economic deployment in JP/II — no double count of shared identity/payments
SD-ADD-01,"Additional domains (space/digital commons, care economy, etc.) — shared domain framework (incremental)",sector-domain.add,multilateral_or_research_consortium,1,5y_program,80,130,220,0.08,0.14,0.2,0.26,0.32,0.03,USD,2026-08-10,0.4,0.6,domain_25,FALSE,sector_framework_v01,L,GC-CP-01,quantity * unit_cost_{scenario}_usd_m,80,130,220,10.4,18.2,26.0,33.8,41.6,domain,0.35,0,Framework ONLY; clinical/economic deployment in JP/II — no double count of shared identity/payments
